,title,year,duration,genres,rating,synopsis,directors,stars
500,John Henry,2020.0,91,"
Drama, Thriller            ",3.6,"
When two immigrant kids on the run from his former South Los Angeles gang leader stumble into his life, John is forced to reconcile with his past in order to try and give them a future.",Will Forbes,"Terry Crews,Jamila Velazquez,Ludacris,Ken Foree"
501,Assassin 33 A.D.,2020.0,109,"
Sci-Fi            ",2.9,"
While doing research, a group of young geniuses accidentally stumbles upon a secret terrorist plot to create a time machine to go back in time and change history.",Jim Carroll,"Morgan Roberts,Ilsa Levine,Donny Boaz,Heidi Montag"
502,Miss Juneteenth,2020.0,99,"
Drama            ",6.5,"
A former beauty queen and single mom prepares her rebellious teenage daughter for the ""Miss Juneteenth"" pageant.",Channing Godfrey Peoples,"Nicole Beharie,Liz Mikel,Marcus M. Mauldin,Kendrick Sampson"
503,"Te quiero, imbécil",2020.0,87,"
Comedy            ",5.8,"
Marcos' life turns upside down after he loses the same day his girlfriend and his job. Marcos' life turns wild after to meet Raquel.",Laura Mañá,"Quim Gutiérrez,Natalia Tena,Alfonso Bassave,Ernesto Alterio"
504,Romance Doll,2020.0,123,"
Drama, Romance            ",6.4,"
It was a pre-destined love and marriage for Sonoko and Tetsuo. They tied the knot and became husband and wife no questions asked. All is well then. Well, perhaps not. Each holds a secret ...                ",Yuki Tanada,"Yû Aoi,Issey Takahashi,Kenta Hamano,Kitarô"
505,Jumbo,2020.0,93,"
Drama, Fantasy, Romance            ",6.1,"
Jeanne, a shy young woman, works in an amusement park. Fascinated with carousels, she still lives at home with her mother. That's when Jeanne meets Jumbo, the park's new flagship attraction.",Zoé Wittock,"Noémie Merlant,Emmanuelle Bercot,Bastien Bouillon,Sam Louwyck"
506,Disco Raja,2020.0,141,"
Action, Crime, Drama            ",6.1,"
A new scientific discovery reanimates a slain man who is either a missing person or a gangster's archenemy.",Vi Anand,"Ravi Teja,Payal Rajput,Nabha Natesh,Tanya Hope"
507,Residue,2020.0,90,"
Drama            ",6.5,"
A young filmmaker returns home after many years away, to write a script about his childhood, only to find his neighborhood unrecognizable and his childhood friends being scattered to the wind.",Merawi Gerima,"Obinna Nwachukwu,Dennis Lindsey,Taline Stewart,Derron Scott"
508,Jinde Meriye,2020.0,141,"
Action, Comedy, Romance            ",5.2,"
Yaadi falls in love with Rehmat, an innocent and focused student. Rehmat's father decides to arrange her marriage with a law-abiding man called Yuvi which places Rehmat at a crossroad in her life.",Pankaj Batra,"Parmish Verma,Sonam Bajwa,Navneet Kaur Dhillon,Yuvraj Hans"
509,Cindy la Regia,2020.0,109,"
Comedy            ",5.9,"
When Cindy decides that she doesn't want to marry her boyfriend, she runs to Mexico City, where new friendships and unexpected paths teach her that there are many more possibilities for her life and talent than she thought.","Catalina Aguilar Mastretta,Santiago Limón","Martha Debayle,Diego Amozurrutia,Mayra Batalla,Regina Blandón"
510,His,2020.0,127,"
Drama, Family, Romance            ",7.3,"
Shun and Nagisa first meet and fall in love during high school. However, despite strong feelings, they go their separate ways. Years later, Shun is now living alone in a rural area when Nagisa arrives with his six-year-old daughter, Sora.",Rikiya Imaizumi,"Hio Miyazawa,Kisetsu Fujiwara,Wakana Matsumoto,Honoka Matsumoto"
